h,split,model,pred,actual,err
1,2022-12,Drift (24m mean),1.140019623433915,0.462996419787709,-0.677023203646206
1,2022-12,"ARIMA(1,1,1)",0.5611524106149659,0.462996419787709,-0.0981559908272569
1,2022-12,Ridge,0.5523038860053966,0.462996419787709,-0.0893074662176875
1,2022-12,SVR (RBF),0.3853356720201029,0.462996419787709,0.0776607477676061
1,2022-12,Random forest,0.2965488703278578,0.462996419787709,0.1664475494598511
1,2022-12,Gradient boosting,0.4841832861022136,0.462996419787709,-0.0211868663145046
1,2023-02,Random walk (no change),0.0,0.5485524917030471,0.5485524917030471
1,2023-02,Drift (24m mean),1.0990270179216204,0.5485524917030471,-0.5504745262185733
1,2023-02,"ARIMA(1,1,1)",0.4003164705865742,0.5485524917030471,0.1482360211164728
1,2023-02,Ridge,0.5129973536982466,0.5485524917030471,0.0355551380048004
1,2023-02,SVR (RBF),0.4006158073043913,0.5485524917030471,0.1479366843986558
1,2023-02,Random forest,0.4468522085641788,0.5485524917030471,0.1017002831388682
1,2023-02,Gradient boosting,0.4895230155423244,0.5485524917030471,0.0590294761607226
1,2023-04,Random walk (no change),0.0,0.0276608539161227,0.0276608539161227
1,2023-04,Drift (24m mean),1.0314623390291138,0.0276608539161227,-1.003801485112991
1,2023-04,"ARIMA(1,1,1)",0.4501859496996303,0.0276608539161227,-0.4225250957835076
1,2023-04,Ridge,0.3996308700041655,0.0276608539161227,-0.3719700160880428
1,2023-04,SVR (RBF),0.4618466801210829,0.0276608539161227,-0.4341858262049601
1,2023-04,Random forest,0.3923141023596248,0.0276608539161227,-0.3646532484435021
1,2023-04,Gradient boosting,0.4281118777117312,0.0276608539161227,-0.4004510237956085
1,2023-06,Random walk (no change),0.0,1.5497897508889302,1.5497897508889302
1,2023-06,Drift (24m mean),0.8870446448353294,1.5497897508889302,0.6627451060536008
1,2023-06,"ARIMA(1,1,1)",0.2720188563247916,1.5497897508889302,1.2777708945641386
1,2023-06,Ridge,0.2082114255558957,1.5497897508889302,1.3415783253330344
1,2023-06,SVR (RBF),0.2218849612956818,1.5497897508889302,1.3279047895932483
1,2023-06,Random forest,0.1769220950471633,1.5497897508889302,1.372867655841767
1,2023-06,Gradient boosting,0.2482918579867565,1.5497897508889302,1.3014978929021737
1,2023-08,Random walk (no change),0.0,-0.249656292384337,-0.249656292384337
1,2023-08,Drift (24m mean),0.9003463820624743,-0.249656292384337,-1.1500026744468117
1,2023-08,"ARIMA(1,1,1)",0.9302378594101696,-0.249656292384337,-1.1798941517945067
1,2023-08,Ridge,0.459982604909654,-0.249656292384337,-0.7096388972939911
1,2023-08,SVR (RBF),0.2382582695968474,-0.249656292384337,-0.4879145619811845
1,2023-08,Random forest,0.6589327996514895,-0.249656292384337,-0.9085890920358266
1,2023-08,Gradient boosting,0.3558917176943798,-0.249656292384337,-0.605548010078717
1,2023-10,Random walk (no change),0.0,0.2723862571048396,0.2723862571048396
1,2023-10,Drift (24m mean),0.753636535092228,0.2723862571048396,-0.4812502779873884
1,2023-10,"ARIMA(1,1,1)",0.1463613699492612,0.2723862571048396,0.1260248871555784
1,2023-10,Ridge,0.3691914224094496,0.2723862571048396,-0.0968051653046099
1,2023-10,SVR (RBF),0.2500667632626405,0.2723862571048396,0.0223194938421991
1,2023-10,Random forest,0.3172793696634338,0.2723862571048396,-0.0448931125585941
1,2023-10,Gradient boosting,0.1120055385545605,0.2723862571048396,0.1603807185502791
1,2023-12,Random walk (no change),0.0,0.2515965305691647,0.2515965305691647
1,2023-12,Drift (24m mean),0.6894299886934833,0.2515965305691647,-0.4378334581243185
1,2023-12,"ARIMA(1,1,1)",0.2768319173654845,0.2515965305691647,-0.0252353867963197
1,2023-12,Ridge,0.4929685388221275,0.2515965305691647,-0.2413720082529628
1,2023-12,SVR (RBF),0.3586428328556614,0.2515965305691647,-0.1070463022864966
1,2023-12,Random forest,0.4945629584599447,0.2515965305691647,-0.24296642789078
1,2023-12,Gradient boosting,0.4369684289414448,0.2515965305691647,-0.18537189837228
1,2024-02,Random walk (no change),0.0,0.0253604345757718,0.0253604345757718
1,2024-02,Drift (24m mean),0.5747570278094694,0.0253604345757718,-0.5493965932336975
1,2024-02,"ARIMA(1,1,1)",0.3299904085541811,0.0253604345757718,-0.3046299739784093
1,2024-02,Ridge,0.2457323006320511,0.0253604345757718,-0.2203718660562793
1,2024-02,SVR (RBF),0.049673426485401,0.0253604345757718,-0.0243129919096291
1,2024-02,Random forest,0.4774000503464719,0.0253604345757718,-0.4520396157707
1,2024-02,Gradient boosting,0.9638939927107996,0.0253604345757718,-0.9385335581350276
1,2024-04,Random walk (no change),0.0,0.2477940009251167,0.2477940009251167
1,2024-04,Drift (24m mean),0.4507447625697103,0.2477940009251167,-0.2029507616445935
1,2024-04,"ARIMA(1,1,1)",0.063228101163645,0.2477940009251167,0.1845658997614716
1,2024-04,Ridge,0.1863162949787882,0.2477940009251167,0.0614777059463284
1,2024-04,SVR (RBF),0.1122926631924995,0.2477940009251167,0.1355013377326172
1,2024-04,Random forest,0.2257958803242597,0.2477940009251167,0.0219981206008569
1,2024-04,Gradient boosting,0.3811853433845185,0.2477940009251167,-0.1333913424594018
1,2024-06,Random walk (no change),0.0,0.2956417842724157,0.2956417842724157
1,2024-06,Drift (24m mean),0.3751924318504425,0.2956417842724157,-0.0795506475780268
1,2024-06,"ARIMA(1,1,1)",0.1645572101219841,0.2956417842724157,0.1310845741504316
1,2024-06,Ridge,0.1972725097826196,0.2956417842724157,0.0983692744897961
1,2024-06,SVR (RBF),0.2898582444625375,0.2956417842724157,0.0057835398098781
1,2024-06,Random forest,0.2522010474448104,0.2956417842724157,0.0434407368276053
1,2024-06,Gradient boosting,0.254308825107633,0.2956417842724157,0.0413329591647826
1,2024-08,Random walk (no change),0.0,-0.1069801340670473,-0.1069801340670473
1,2024-08,Drift (24m mean),0.3467881568629538,-0.1069801340670473,-0.4537682909300011
1,2024-08,"ARIMA(1,1,1)",0.2043851978812654,-0.1069801340670473,-0.3113653319483127
1,2024-08,Ridge,0.0842467883853024,-0.1069801340670473,-0.1912269224523498
1,2024-08,SVR (RBF),0.1704076623637289,-0.1069801340670473,-0.2773877964307762
1,2024-08,Random forest,0.1234046835537387,-0.1069801340670473,-0.230384817620786
1,2024-08,Gradient boosting,0.0207815539483623,-0.1069801340670473,-0.1277616880154096
1,2024-10,Random walk (no change),0.0,0.1016790486390473,0.1016790486390473
1,2024-10,Drift (24m mean),0.3527925193678061,0.1016790486390473,-0.2511134707287588
1,2024-10,"ARIMA(1,1,1)",0.0388538538749116,0.1016790486390473,0.0628251947641356
1,2024-10,Ridge,0.1523217221083485,0.1016790486390473,-0.0506426734693012
1,2024-10,SVR (RBF),0.3242457435349816,0.1016790486390473,-0.2225666948959342
1,2024-10,Random forest,0.1700737116792705,0.1016790486390473,-0.0683946630402231
1,2024-10,Gradient boosting,0.1096344811145392,0.1016790486390473,-0.0079554324754919
1,2024-12,Random walk (no change),0.0,0.2400180473625113,0.2400180473625113
1,2024-12,Drift (24m mean),0.285568428827565,0.2400180473625113,-0.0455503814650537
1,2024-12,"ARIMA(1,1,1)",0.0188251686278704,0.2400180473625113,0.2211928787346408
1,2024-12,Ridge,0.1698995928474118,0.2400180473625113,0.0701184545150994
1,2024-12,SVR (RBF),0.0652241139820959,0.2400180473625113,0.1747939333804153
1,2024-12,Random forest,0.1408148789345085,0.2400180473625113,0.0992031684280028
1,2024-12,Gradient boosting,0.0960592825206364,0.2400180473625113,0.1439587648418749
1,2025-02,Random walk (no change),0.0,1.33584402843554,1.33584402843554
1,2025-02,Drift (24m mean),0.2669868977921319,1.33584402843554,1.068857130643408
1,2025-02,"ARIMA(1,1,1)",0.1720757716232697,1.33584402843554,1.1637682568122705
1,2025-02,Ridge,0.3976089255319353,1.33584402843554,0.9382351029036048
1,2025-02,SVR (RBF),0.3229614522584889,1.33584402843554,1.012882576177051
1,2025-02,Random forest,0.3191578841785896,1.33584402843554,1.0166861442569504
1,2025-02,Gradient boosting,0.3752440621904317,1.33584402843554,0.9605999662451082
1,2025-04,Random walk (no change),0.0,2.048539486762868,2.048539486762868
1,2025-04,Drift (24m mean),0.332594525853173,2.048539486762868,1.715944960909695
1,2025-04,"ARIMA(1,1,1)",0.3441046743027414,2.048539486762868,1.7044348124601267
1,2025-04,Ridge,0.79571576773555,2.048539486762868,1.2528237190273182
1,2025-04,SVR (RBF),0.40681412990375,2.048539486762868,1.641725356859118
1,2025-04,Random forest,0.8161751565709748,2.048539486762868,1.2323643301918934
1,2025-04,Gradient boosting,1.1040904225986805,2.048539486762868,0.9444490641641878
1,2026-06,Random walk (no change),0.0,0.9798499910242952,0.9798499910242952
1,2026-06,Drift (24m mean),0.5010010785904018,0.9798499910242952,0.4788489124338935
1,2026-06,"ARIMA(1,1,1)",0.8503338326232779,0.9798499910242952,0.1295161584010173
1,2026-06,Ridge,2.24334078890793,0.9798499910242952,-1.2634907978836347
1,2026-06,SVR (RBF),0.493056394428906,0.9798499910242952,0.4867935965953893
1,2026-06,Random forest,1.427686359568821,0.9798499910242952,-0.4478363685445257
1,2026-06,Gradient boosting,1.1408771817875625,0.9798499910242952,-0.161027190763267
3,2017-02,Random walk (no change),0.0,0.4807632149992358,0.4807632149992358
3,2017-02,Drift (24m mean),0.1058496260077553,0.4807632149992358,0.3749135889914805
3,2017-02,"ARIMA(1,1,1)",0.7260606484788923,0.4807632149992358,-0.2452974334796565
3,2017-02,Ridge,0.224405641296974,0.4807632149992358,0.2563575737022617
3,2017-02,SVR (RBF),0.7391680385002914,0.4807632149992358,-0.2584048235010556
3,2017-02,Random forest,0.4760487904066089,0.4807632149992358,0.0047144245926268
3,2017-02,Gradient boosting,0.7186180577823076,0.4807632149992358,-0.2378548427830717
3,2017-04,Random walk (no change),0.0,0.366769816456225,0.366769816456225
3,2017-04,Drift (24m mean),0.1414507649774651,0.366769816456225,0.2253190514787598
3,2017-04,"ARIMA(1,1,1)",0.2233748880842654,0.366769816456225,0.1433949283719595
3,2017-04,Ridge,0.1031533844697121,0.366769816456225,0.2636164319865128
3,2017-04,SVR (RBF),0.3588933810244183,0.366769816456225,0.0078764354318066
3,2017-04,Random forest,0.353867500193646,0.366769816456225,0.0129023162625789
3,2017-04,Gradient boosting,0.3735816029536497,0.366769816456225,-0.0068117864974247
3,2017-06,Random walk (no change),0.0,1.1370697923809292,1.1370697923809292
3,2017-06,Drift (24m mean),0.1949489773620638,1.1370697923809292,0.9421208150188654
3,2017-06,"ARIMA(1,1,1)",0.2148471170612538,1.1370697923809292,0.9222226753196754
3,2017-06,Ridge,-0.3282006740911026,1.1370697923809292,1.4652704664720315
3,2017-06,SVR (RBF),0.14374953580413,1.1370697923809292,0.9933202565767992
3,2017-06,Random forest,0.2132653494336001,1.1370697923809292,0.9238044429473292
3,2017-06,Gradient boosting,0.1374146387081304,1.1370697923809292,0.9996551536727988
3,2017-08,Random walk (no change),0.0,0.8519809539025314,0.8519809539025314
3,2017-08,Drift (24m mean),0.3251954074111015,0.8519809539025314,0.52678554649143
3,2017-08,"ARIMA(1,1,1)",0.1094486251452622,0.8519809539025314,0.7425323287572692
3,2017-08,Ridge,0.3728982757963163,0.8519809539025314,0.4790826781062151
3,2017-08,SVR (RBF),0.3820942830027123,0.8519809539025314,0.469886670899819
3,2017-08,Random forest,0.6955576216920095,0.8519809539025314,0.1564233322105218
3,2017-08,Gradient boosting,0.8203791345789722,0.8519809539025314,0.0316018193235592
3,2017-10,Random walk (no change),0.0,1.0441600135100426,1.0441600135100426
3,2017-10,Drift (24m mean),0.4473344476553305,1.0441600135100426,0.5968255658547121
3,2017-10,"ARIMA(1,1,1)",0.6582418523117326,1.0441600135100426,0.38591816119831
3,2017-10,Ridge,0.345315015528961,1.0441600135100426,0.6988449979810816
3,2017-10,SVR (RBF),0.743935742463925,1.0441600135100426,0.3002242710461176
3,2017-10,Random forest,0.7363054343952844,1.0441600135100426,0.3078545791147582
3,2017-10,Gradient boosting,0.6268770809848556,1.0441600135100426,0.417282932525187
3,2017-12,Random walk (no change),0.0,1.9172047790893647,1.9172047790893647
3,2017-12,Drift (24m mean),0.5852567486347845,1.9172047790893647,1.3319480304545808
3,2017-12,"ARIMA(1,1,1)",0.358499961218456,1.9172047790893647,1.5587048178709093
3,2017-12,Ridge,0.5693594206888825,1.9172047790893647,1.347845358400483
3,2017-12,SVR (RBF),0.4498232870445244,1.9172047790893647,1.467381492044841
3,2017-12,Random forest,0.8444548907327629,1.9172047790893647,1.0727498883566025
3,2017-12,Gradient boosting,0.996007752029524,1.9172047790893647,0.9211970270598416
3,2018-02,Random walk (no change),0.0,2.183671391429032,2.183671391429032
3,2018-02,Drift (24m mean),0.7169057585278305,2.183671391429032,1.466765632901201
3,2018-02,"ARIMA(1,1,1)",0.4944152734188947,2.183671391429032,1.689256118010137
3,2018-02,Ridge,0.929904159001929,2.183671391429032,1.2537672324271028
3,2018-02,SVR (RBF),0.7837262974655073,2.183671391429032,1.3999450939635243
3,2018-02,Random forest,0.8868130683503053,2.183671391429032,1.2968583230787265
3,2018-02,Gradient boosting,0.8643820330890513,2.183671391429032,1.3192893583399803
3,2018-04,Random walk (no change),0.0,1.2026088618370512,1.2026088618370512
3,2018-04,Drift (24m mean),0.859298238697955,1.2026088618370512,0.3433106231390962
3,2018-04,"ARIMA(1,1,1)",1.1390274586721605,1.2026088618370512,0.0635814031648909
3,2018-04,Ridge,0.7323398170692116,1.2026088618370512,0.4702690447678396
3,2018-04,SVR (RBF),1.150238775555749,1.2026088618370512,0.0523700862813021
3,2018-04,Random forest,1.109635310424059,1.2026088618370512,0.0929735514129921
3,2018-04,Gradient boosting,1.183540479875983,1.2026088618370512,0.0190683819610681
3,2018-06,Random walk (no change),0.0,0.6449118417156008,0.6449118417156008
3,2018-06,Drift (24m mean),0.9461130530842744,0.6449118417156008,-0.3012012113686735
3,2018-06,"ARIMA(1,1,1)",1.529295320389508,0.6449118417156008,-0.8843834786739073
3,2018-06,Ridge,0.3668522706487335,0.6449118417156008,0.2780595710668672
3,2018-06,SVR (RBF),0.6137378451308907,0.6449118417156008,0.03117399658471
3,2018-06,Random forest,0.4246926258927816,0.6449118417156008,0.2202192158228191
3,2018-06,Gradient boosting,0.1723052021034306,0.6449118417156008,0.4726066396121701
3,2018-08,Random walk (no change),0.0,0.502659349703638,0.502659349703638
3,2018-08,Drift (24m mean),0.9807917461370182,0.502659349703638,-0.4781323964333802
3,2018-08,"ARIMA(1,1,1)",0.924125443254468,0.502659349703638,-0.4214660935508298
3,2018-08,Ridge,0.2857351006300131,0.502659349703638,0.2169242490736249
3,2018-08,SVR (RBF),0.6037666637209236,0.502659349703638,-0.1011073140172855
3,2018-08,Random forest,0.3992545667501445,0.502659349703638,0.1034047829534935
3,2018-08,Gradient boosting,0.2803807013408268,0.502659349703638,0.2222786483628112
3,2018-10,Random walk (no change),0.0,1.0270590495352394,1.0270590495352394
3,2018-10,Drift (24m mean),1.0010934491168078,1.0270590495352394,0.0259656004184316
3,2018-10,"ARIMA(1,1,1)",0.4083572889798006,1.0270590495352394,0.6187017605554388
3,2018-10,Ridge,0.3485846106063512,1.0270590495352394,0.6784744389288881
3,2018-10,SVR (RBF),0.8932465464183944,1.0270590495352394,0.133812503116845
3,2018-10,Random forest,0.6149061611672457,1.0270590495352394,0.4121528883679937
3,2018-10,Gradient boosting,0.422819757548855,1.0270590495352394,0.6042392919863844
3,2018-12,Random walk (no change),0.0,0.8213513081805957,0.8213513081805957
3,2018-12,Drift (24m mean),0.9829772883085508,0.8213513081805957,-0.1616259801279551
3,2018-12,"ARIMA(1,1,1)",0.1606281223864698,0.8213513081805957,0.6607231857941258
3,2018-12,Ridge,0.6654262202207986,0.8213513081805957,0.1559250879597971
3,2018-12,SVR (RBF),1.1022809505046336,0.8213513081805957,-0.2809296423240379
3,2018-12,Random forest,0.8842572752091113,0.8213513081805957,-0.0629059670285157
3,2018-12,Gradient boosting,1.0753510020237425,0.8213513081805957,-0.2539996938431468
3,2019-02,Random walk (no change),0.0,0.5668732439059632,0.5668732439059632
3,2019-02,Drift (24m mean),1.0150175310616238,0.5668732439059632,-0.4481442871556607
3,2019-02,"ARIMA(1,1,1)",0.4225930564453506,0.5668732439059632,0.1442801874606125
3,2019-02,Ridge,0.5883297258212575,0.5668732439059632,-0.0214564819152943
3,2019-02,SVR (RBF),0.9178139240227552,0.5668732439059632,-0.350940680116792
3,2019-02,Random forest,0.8315560321788609,0.5668732439059632,-0.2646827882728977
3,2019-02,Gradient boosting,0.8054700674300026,0.5668732439059632,-0.2385968235240394
3,2019-04,Random walk (no change),0.0,-0.0187946359298418,-0.0187946359298418
3,2019-04,Drift (24m mean),1.0221933668038512,-0.0187946359298418,-1.040988002733693
3,2019-04,"ARIMA(1,1,1)",0.4356110461931166,-0.0187946359298418,-0.4544056821229585
3,2019-04,Ridge,0.4597466458063311,-0.0187946359298418,-0.478541281736173
3,2019-04,SVR (RBF),0.4540601902691296,-0.0187946359298418,-0.4728548261989714
3,2019-04,Random forest,1.0661316080373795,-0.0187946359298418,-1.0849262439672214
3,2019-04,Gradient boosting,1.1109991904475007,-0.0187946359298418,-1.1297938263773426
3,2019-06,Random walk (no change),0.0,-0.2351192924413769,-0.2351192924413769
3,2019-06,Drift (24m mean),0.9900629957716788,-0.2351192924413769,-1.225182288213056
3,2019-06,"ARIMA(1,1,1)",0.3417652658800421,-0.2351192924413769,-0.576884558321419
3,2019-06,Ridge,0.4756304337993324,-0.2351192924413769,-0.7107497262407094
3,2019-06,SVR (RBF),0.4121620739157471,-0.2351192924413769,-0.6472813663571241
3,2019-06,Random forest,0.5971940676863056,-0.2351192924413769,-0.8323133601276825
3,2019-06,Gradient boosting,0.8152402436401888,-0.2351192924413769,-1.0503595360815656
3,2019-08,Random walk (no change),0.0,0.0744888312179448,0.0744888312179448
3,2019-08,Drift (24m mean),0.8757139053698201,0.0744888312179448,-0.8012250741518753
3,2019-08,"ARIMA(1,1,1)",0.2927942444392784,0.0744888312179448,-0.2183054132213335
3,2019-08,Ridge,0.3445268654866892,0.0744888312179448,-0.2700380342687444
3,2019-08,SVR (RBF),0.5677921421403863,0.0744888312179448,-0.4933033109224415
3,2019-08,Random forest,0.3479408485934395,0.0744888312179448,-0.2734520173754947
3,2019-08,Gradient boosting,0.5278642297782997,0.0744888312179448,-0.4533753985603549
3,2019-10,Random walk (no change),0.0,0.7699906315981497,0.7699906315981497
3,2019-10,Drift (24m mean),0.8109228951461045,0.7699906315981497,-0.0409322635479547
3,2019-10,"ARIMA(1,1,1)",-0.0437856777991783,0.7699906315981497,0.813776309397328
3,2019-10,Ridge,0.7321635237505143,0.7699906315981497,0.0378271078476354
3,2019-10,SVR (RBF),0.7155158962686871,0.7699906315981497,0.0544747353294626
3,2019-10,Random forest,0.4440625826671703,0.7699906315981497,0.3259280489309794
3,2019-10,Gradient boosting,0.3984682181710393,0.7699906315981497,0.3715224134271104
3,2019-12,Random walk (no change),0.0,0.8231279199466979,0.8231279199466979
3,2019-12,Drift (24m mean),0.7880754466534468,0.8231279199466979,0.0350524732932511
3,2019-12,"ARIMA(1,1,1)",-0.1057730366374585,0.8231279199466979,0.9289009565841564
3,2019-12,Ridge,0.951452117088915,0.8231279199466979,-0.1283241971422171
3,2019-12,SVR (RBF),0.6672949803134985,0.8231279199466979,0.1558329396331993
3,2019-12,Random forest,1.075199207399682,0.8231279199466979,-0.2520712874529842
3,2019-12,Gradient boosting,0.8459407036403062,0.8231279199466979,-0.0228127836936082
3,2020-02,Random walk (no change),0.0,-0.3075487461638992,-0.3075487461638992
3,2020-02,Drift (24m mean),0.6969023750582245,-0.3075487461638992,-1.004451121222124
